origin,destination,flow
Budapest,Szeged,61
Budapest,Miskolc,60
Debrecen,Nyíregyháza,56
Szolnok,Székesfehérvár,51
Budapest,Debrecen,48
Budapest,Szolnok,29
Nyíregyháza,Miskolc,28
Kecskemét,Nyíregyháza,12
Szeged,Miskolc,10
Kecskemét,Szolnok,9
Dunaújváros,Debrecen,8
Kecskemét,Miskolc,7
Szeged,Debrecen,7
Kecskemét,Szeged,6
Budapest,Nyíregyháza,6
Szolnok,Debrecen,5
Kecskemét,Dunaújváros,5
Debrecen,Miskolc,5
Székesfehérvár,Debrecen,5
Budapest,Kecskemét,4
Debrecen,Szombathely,4
Kecskemét,Debrecen,3
Kecskemét,Szekszárd,3
Szolnok,Veszprém,2
Szolnok,Szekszárd,2
Siófok,Veszprém,2
Szolnok,Győr,2
Pécs,Debrecen,2
Győr,Veszprém,1
Kecskemét,Székesfehérvár,1
Pécs,Szombathely,1
Szolnok,Dunaújváros,1
Győr,Sopron,1
Szolnok,Siófok,1
Kecskemét,Pécs,1
Győr,Nyíregyháza,0
Győr,Miskolc,0
Nyíregyháza,Veszprém,0
Pécs,Nyíregyháza,0
Székesfehérvár,Pécs,0
Budapest,Győr,0
Nyíregyháza,Sopron,0
Székesfehérvár,Sopron,0
Szolnok,Nyíregyháza,0
Székesfehérvár,Siófok,0
Nyíregyháza,Siófok,0
Debrecen,Sopron,0
Győr,Siófok,0
Veszprém,Sopron,0
Siófok,Sopron,0
Debrecen,Siófok,0
Szolnok,Pécs,0
Szolnok,Sopron,0
Budapest,Pécs,0
Budapest,Sopron,0
Budapest,Siófok,0
Pécs,Veszprém,0
Debrecen,Veszprém,0
Győr,Debrecen,0
Budapest,Veszprém,0
Pécs,Miskolc,0
Miskolc,Sopron,0
Miskolc,Siófok,0
Szolnok,Miskolc,0
Budapest,Székesfehérvár,0
Miskolc,Veszprém,0
Pécs,Siófok,0
Győr,Pécs,0
Dunaújváros,Szeged,0
Székesfehérvár,Veszprém,0
Szeged,Szekszárd,0
Szekszárd,Szombathely,0
Kecskemét,Szombathely,0
Szeged,Pécs,0
Szeged,Sopron,0
Szeged,Siófok,0
Szolnok,Szeged,0
Szeged,Veszprém,0
Győr,Szeged,0
Szeged,Nyíregyháza,0
Székesfehérvár,Szeged,0
Szeged,Szombathely,0
Nyíregyháza,Szombathely,0
Dunaújváros,Pécs,0
Dunaújváros,Sopron,0
Dunaújváros,Siófok,0
Budapest,Dunaújváros,0
Dunaújváros,Veszprém,0
Dunaújváros,Miskolc,0
Dunaújváros,Győr,0
Dunaújváros,Nyíregyháza,0
Dunaújváros,Székesfehérvár,0
Dunaújváros,Szekszárd,0
Székesfehérvár,Szombathely,0
Győr,Szombathely,0
Székesfehérvár,Miskolc,0
Győr,Szekszárd,0
Székesfehérvár,Győr,0
Székesfehérvár,Nyíregyháza,0
Pécs,Szekszárd,0
Szekszárd,Sopron,0
Szekszárd,Debrecen,0
Szekszárd,Siófok,0
Dunaújváros,Szombathely,0
Budapest,Szekszárd,0
Szekszárd,Veszprém,0
Szekszárd,Miskolc,0
Szekszárd,Nyíregyháza,0
Miskolc,Szombathely,0
Székesfehérvár,Szekszárd,0
Kecskemét,Sopron,0
Kecskemét,Siófok,0
Kecskemét,Veszprém,0
Kecskemét,Győr,0
Sopron,Szombathely,0
Siófok,Szombathely,0
Szolnok,Szombathely,0
Budapest,Szombathely,0
Veszprém,Szombathely,0
Pécs,Sopron,0
